ID evento,Origen,Resultado,Fecha/Hora,Acción,Usuario,Información registro,Información registro actualizado,IP,Dispositivo
b6f48ccd-3ab0-4054-9bc9-8784aca1296a,Módulos,Exitoso,"30/03/2026, 02:03 a. m.",Actualizar estado de módulo,Tomas Rojas Ramirez,"{""values"": {""status"": ""INACTIVE""}, ""context"": {""code"": ""ACCOUNTING_VOUCHERS"", ""name"": ""Comprobantes contables"", ""af_module_id"": ""6653f3f7-2e2f-4ea7-84ba-3810771df388""}}","{""code"": ""ACCOUNTING_VOUCHERS"", ""name"": ""Comprobantes contables"", ""status"": ""ACTIVE"", ""af_module_id"": ""6653f3f7-2e2f-4ea7-84ba-3810771df388""}",12….1,"{""user_agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36""}"
2545ee81-6a0c-45ec-9ac4-c9164ebe89cd,Módulos,Exitoso,"30/03/2026, 02:04 a. m.",Actualizar estado de módulo,Tomas Rojas Ramirez,"{""values"": {""status"": ""ACTIVE""}, ""context"": {""code"": ""ACCOUNTING_VOUCHERS"", ""name"": ""Comprobantes contables"", ""af_module_id"": ""6653f3f7-2e2f-4ea7-84ba-3810771df388""}}","{""code"": ""ACCOUNTING_VOUCHERS"", ""name"": ""Comprobantes contables"", ""status"": ""INACTIVE"", ""af_module_id"": ""6653f3f7-2e2f-4ea7-84ba-3810771df388""}",12….1,"{""user_agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36""}"
46363636-6631-4b1e-9884-bd99c9d0ac24,Módulos,Exitoso,"30/03/2026, 02:04 a. m.",Actualizar estado de módulo,Tomas Rojas Ramirez,"{""values"": {""status"": ""ACTIVE""}, ""context"": {""code"": ""ACCOUNTING_VOUCHERS"", ""name"": ""Comprobantes contables"", ""af_module_id"": ""6653f3f7-2e2f-4ea7-84ba-3810771df388""}}","{""code"": ""ACCOUNTING_VOUCHERS"", ""name"": ""Comprobantes contables"", ""status"": ""ACTIVE"", ""af_module_id"": ""6653f3f7-2e2f-4ea7-84ba-3810771df388""}",12….1,"{""user_agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36""}"
c3b875a3-1969-4dca-bddf-caf65d41f950,Módulos,Exitoso,"04/04/2026, 04:48 p. m.",Actualizar estado de módulo,Carlos Mauricio,"{""values"": {""status"": ""INACTIVE""}, ""context"": {""code"": ""ADMINISTRATION"", ""name"": ""Administración"", ""af_module_id"": ""fff7bb35-03db-4f5b-ba85-e61c14fcb066""}}","{""code"": ""ADMINISTRATION"", ""name"": ""Administración"", ""status"": ""ACTIVE"", ""af_module_id"": ""fff7bb35-03db-4f5b-ba85-e61c14fcb066""}",12….1,"{""user_agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36""}"
90be895a-f20e-4280-8c20-c6aeb4ade443,Módulos,Exitoso,"04/04/2026, 09:56 p. m.",Actualizar estado de módulo,Maria Alejandra,"{""values"": {""status"": ""ACTIVE""}, ""context"": {""code"": ""ADMINISTRATION"", ""name"": ""Administración"", ""af_module_id"": ""fff7bb35-03db-4f5b-ba85-e61c14fcb066""}}","{""code"": ""ADMINISTRATION"", ""name"": ""Administración"", ""status"": ""INACTIVE"", ""af_module_id"": ""fff7bb35-03db-4f5b-ba85-e61c14fcb066""}",10….4,"{""user_agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36""}"
